State_Name,District_Name,Crop_Year,Season,Crop,Area_Hectares,Production_Tonnes,Yield_Per_Hectare,Temperature_Avg,Rainfall_MM
West Bengal,District_4,2023,Kharif,Cotton,591.34,1722.1,2.912,24.5,123.1
Punjab,District_5,2023,Kharif,Sugarcane,6384.89,2981.79,0.467,31.9,44.0
Uttar Pradesh,District_6,2019,Kharif,Groundnut,826.46,16745.94,10.244363458577492,23.4,316.9
Haryana,District_7,2021,Summer,Mustard,3981.43,545.12,0.137,29.6,177.6
West Bengal,District_8,2020,Summer,Maize,2887.1,9309.29,3.224,26.1,221.7
Gujarat,District_9,2022,Rabi,Soybean,889.84,9776.09,10.986,33.6,113.1
Uttar Pradesh,District_10,2021,Summer,Pulses,9046.52,9688.72,1.071,17.6,73.1
Punjab,District_11,2020,Rabi,Wheat,1434.45,888.81,0.62,19.2,375.5
Maharashtra,District_12,2020,Rabi,Sugarcane,4979.12,235.33,0.047,34.2,191.7
Rajasthan,District_13,2018,Summer,Sugarcane,4431.96,6901.89,1.557,21.3,46.8
Madhya Pradesh,District_14,2022,Rabi,Mustard,1660.12,3949.36,2.379,21.7,257.1
Karnataka,District_15,2018,Summer,Groundnut,2324.2,13447.72,5.786,20.6,219.0
Madhya Pradesh,District_16,2019,Rabi,Barley,2046.88,1042.31,0.509,30.7,114.4
Punjab,District_17,2018,Summer,Pulses,349.23,9322.42,13.060967479607475,18.7,542.3
Tamil Nadu,District_18,2018,Summer,Mustard,1161.29,14495.86,12.483,25.1,90.5
Tamil Nadu,District_19,2021,Rabi,Soybean,3210.71,2583.85,0.805,23.7,129.6
Maharashtra,District_20,2023,Kharif,Cotton,5045.17,5571.36,1.104,30.2,274.5
Karnataka,District_21,2020,Rabi,Rice,533.45,5286.7,9.91,22.2,157.8
Gujarat,District_22,2022,Summer,Barley,1860.93,869.39,0.467,27.1,49.0
Maharashtra,District_23,2018,Kharif,Groundnut,1275.22,6612.02,5.185,19.1,171.9
Madhya Pradesh,District_24,2022,Rabi,Wheat,974.7,33987.48,8.534774751283788,36.4,106.5
Maharashtra,District_25,2023,Rabi,Barley,1565.57,3081.91,1.969,23.8,294.6
Madhya Pradesh,District_26,2023,Rabi,Maize,1363.76,333.16,0.244,25.0,167.5
Uttar Pradesh,District_27,2018,Kharif,Groundnut,1884.48,1063.33,0.564,33.3,160.1
Tamil Nadu,District_28,2019,Summer,Cotton,4636.51,206.61,0.045,22.1,64.2
Uttar Pradesh,District_29,2018,Rabi,Maize,2402.17,20648.37,8.596,33.3,123.5
Rajasthan,District_30,2021,Rabi,Barley,1496.06,9378.34,6.269,22.9,322.5
Karnataka,District_31,2020,Rabi,Rice,7077.14,1405.22,0.199,28.4,79.7
Gujarat,District_32,2019,Rabi,Rice,3327.34,355.28,0.107,22.1,144.6
Madhya Pradesh,District_33,2018,Rabi,Cotton,999.85,854.11,0.854,18.2,70.2
Gujarat,District_34,2022,Summer,Sugarcane,324.69,1144.34,3.524,27.1,57.6
Madhya Pradesh,District_35,2019,Summer,Pulses,408.37,3512.6,8.602,28.2,138.7
Punjab,District_36,2019,Rabi,Wheat,2788.43,3339.71,1.198,18.4,170.6
Maharashtra,District_37,2018,Kharif,Sugarcane,583.88,22295.67,11.422096370026974,23.5,731.5
Rajasthan,District_38,2019,Summer,Rice,400.19,1054.55,2.635,31.0,103.1
Tamil Nadu,District_39,2022,Kharif,Rice,513.84,310.36,0.604,28.0,142.6
Madhya Pradesh,District_40,2023,Summer,Soybean,551.49,525.6,0.953,23.0,54.6
Gujarat,District_41,2019,Rabi,Maize,2567.4,2879.76,1.122,22.0,242.2
Rajasthan,District_42,2023,Summer,Barley,937.54,999.23,1.066,34.7,204.1
Haryana,District_43,2022,Rabi,Wheat,278.0,1923.66,6.92,17.8,488.2
Haryana,District_44,2018,Summer,Cotton,1131.21,1508.62,1.334,24.7,361.2
Uttar Pradesh,District_45,2020,Rabi,Barley,1369.59,13165.53,9.613,17.7,196.6
Tamil Nadu,District_46,2019,Rabi,Soybean,679.03,1235.9,1.82,31.6,101.9
Punjab,District_47,2020,Rabi,Rice,3483.82,1692.54,0.486,25.0,174.8
Gujarat,District_48,2022,Rabi,Cotton,719.86,8742.27,12.144,25.9,135.8
Maharashtra,District_49,2019,Kharif,Rice,3322.05,1277.33,0.385,38.8,318.2
Maharashtra,District_50,2023,Rabi,Wheat,1991.78,5624.11,2.824,22.0,287.4
Gujarat,District_1,2021,Kharif,Maize,2770.01,4901.16,1.769,33.7,117.1
Karnataka,District_2,2020,Kharif,Barley,365.57,3687.3,10.086,23.0,46.1
Punjab,District_3,2019,Rabi,Barley,1209.92,543.7,0.449,23.8,431.3
Rajasthan,District_4,2020,Kharif,Sugarcane,1040.2,18857.41,18.129,38.2,236.4
Madhya Pradesh,District_5,2019,Summer,Cotton,264.54,83368.49,7.4563157404881455,24.2,114.9
Karnataka,District_6,2018,Rabi,Pulses,3311.18,3020.69,0.912,18.1,229.1
Madhya Pradesh,District_7,2023,Kharif,Soybean,484.25,620.46,1.281,26.4,157.6
Madhya Pradesh,District_8,2020,Rabi,Pulses,596.11,3113.97,5.224,24.1,426.2
Karnataka,District_9,2021,Rabi,Sugarcane,398.09,13158.07,6.092794453681599,26.8,31.7
Uttar Pradesh,District_10,2021,Rabi,Wheat,2210.97,1184.67,0.536,24.3,108.0
Haryana,District_11,2022,Kharif,Soybean,238.43,2456.89,10.304,36.1,533.4
Madhya Pradesh,District_12,2019,Summer,Maize,2034.23,4969.04,2.443,27.8,232.9
Karnataka,District_13,2020,Summer,Pulses,3116.65,18116.38,5.813,19.6,612.8
Karnataka,District_14,2022,Kharif,Maize,1876.53,9538.92,5.083,25.6,55.8
West Bengal,District_15,2020,Rabi,Pulses,2236.41,10150.74,4.539,21.0,349.9
Uttar Pradesh,District_16,2019,Kharif,Maize,2343.84,1572.78,0.671,23.8,333.5
Tamil Nadu,District_17,2021,Kharif,Pulses,424.36,5447.32,12.837,20.4,38.7
West Bengal,District_18,2018,Kharif,Maize,4604.25,1009.34,0.219,35.5,117.2
West Bengal,District_19,2021,Rabi,Sugarcane,692.23,10596.61,15.308,21.5,136.3
Gujarat,District_20,2022,Kharif,Groundnut,1026.19,16761.33,16.334,28.4,40.6
Haryana,District_21,2023,Rabi,Soybean,786.32,6836.6,8.694,23.4,119.1
Karnataka,District_22,2018,Kharif,Cotton,1792.81,1717.95,0.958,19.2,298.4
Haryana,District_23,2022,Summer,Wheat,640.32,2196.04,3.43,26.0,108.6
Punjab,District_24,2019,Kharif,Mustard,1172.53,44791.53,12.943842250928563,27.0,180.1
Gujarat,District_25,2018,Kharif,Rice,318.83,1761.52,5.525,27.8,181.2
Tamil Nadu,District_26,2022,Summer,Cotton,3514.54,14400.11,4.097,11.9,147.0
Haryana,District_27,2019,Rabi,Rice,2144.67,4955.92,2.311,18.8,84.4
Maharashtra,District_28,2021,Rabi,Soybean,818.72,1805.87,2.206,29.8,251.4
Madhya Pradesh,District_29,2023,Kharif,Cotton,685.98,396.64,0.578,20.4,41.7
Punjab,District_30,2019,Summer,Maize,2089.39,4094.5,1.96,26.0,149.4
Uttar Pradesh,District_31,2020,Rabi,Maize,540.61,3417.45,6.321,18.7,449.6
Tamil Nadu,District_32,2019,Kharif,Mustard,1243.1,44792.77,5.989686234087069,28.7,103.8
Punjab,District_33,2019,Summer,Rice,3503.08,820.33,0.234,29.7,82.9
Madhya Pradesh,District_34,2023,Rabi,Wheat,487.23,93167.38,7.713813950795846,28.7,265.2
Gujarat,District_35,2020,Rabi,Soybean,1585.41,5261.73,3.319,30.2,169.1
Madhya Pradesh,District_36,2022,Summer,Maize,1503.76,5253.99,3.494,32.8,269.4
West Bengal,District_37,2022,Summer,Groundnut,994.92,1224.63,1.231,19.1,153.1
Madhya Pradesh,District_38,2019,Summer,Sugarcane,662.63,4779.35,7.213,21.1,22.0
West Bengal,District_39,2020,Summer,Sugarcane,3695.23,6060.67,1.64,29.5,381.4
Gujarat,District_40,2020,Kharif,Pulses,603.31,12161.02,13.5510942199744,30.7,777.5
Rajasthan,District_41,2023,Summer,Wheat,179.1,687.13,3.837,21.6,414.6
West Bengal,District_42,2021,Rabi,Sugarcane,2080.85,24591.87,11.818,21.3,8.7
Uttar Pradesh,District_43,2022,Rabi,Pulses,329.87,5126.22,15.54,21.7,212.9
Madhya Pradesh,District_44,2023,Kharif,Rice,2190.49,7423.04,3.389,17.0,102.2
Madhya Pradesh,District_45,2018,Rabi,Maize,4166.8,2140.05,0.514,18.6,62.3
Uttar Pradesh,District_46,2022,Rabi,Maize,2058.54,740.84,0.36,18.8,163.7
Maharashtra,District_47,2023,Summer,Groundnut,3201.62,3324.54,1.038,23.5,131.7
Karnataka,District_48,2022,Rabi,Cotton,8267.18,3947.92,0.478,26.4,222.9
Rajasthan,District_49,2021,Kharif,Sugarcane,2883.5,373.1,0.129,27.2,155.3
Tamil Nadu,District_50,2018,Summer,Rice,1526.26,9797.95,6.42,22.5,60.5
West Bengal,District_1,2021,Summer,Barley,5619.22,13290.26,2.365,22.6,93.6
Uttar Pradesh,District_2,2018,Kharif,Sugarcane,6340.9,997.75,0.157,25.6,82.2
Gujarat,District_3,2019,Summer,Wheat,6430.27,642.99,0.1,17.5,37.6
West Bengal,District_4,2023,Summer,Cotton,670.39,1892.32,2.823,29.8,49.5
Karnataka,District_5,2018,Kharif,Sugarcane,283.15,3089.74,10.912,31.4,125.4
Gujarat,District_6,2021,Summer,Rice,630.69,2005.69,3.18,21.9,463.6
Punjab,District_7,2022,Kharif,Sugarcane,2216.4,2720.64,1.228,23.0,96.7
Madhya Pradesh,District_8,2018,Kharif,Wheat,1285.83,4155.62,3.232,31.2,81.0
Punjab,District_9,2023,Rabi,Barley,892.05,382.83,0.429,24.4,57.7
West Bengal,District_10,2018,Rabi,Soybean,1920.77,454.89,0.237,27.9,152.1
Karnataka,District_11,2020,Summer,Mustard,251.94,50.23,0.199,24.5,381.2
Rajasthan,District_12,2022,Summer,Barley,1262.9,12256.58,9.705,32.8,736.7
West Bengal,District_13,2023,Kharif,Pulses,3355.84,3049.83,0.909,27.5,186.5
Uttar Pradesh,District_14,2023,Summer,Sugarcane,1899.44,14353.9,7.557,27.7,166.0
Haryana,District_15,2019,Kharif,Maize,2190.34,540.99,0.247,27.8,96.1
West Bengal,District_16,2021,Kharif,Groundnut,5417.41,3092.12,0.571,22.2,109.8
Madhya Pradesh,District_17,2019,Summer,Maize,1026.45,4114.36,4.008,22.7,245.5
Madhya Pradesh,District_18,2023,Kharif,Barley,570.73,1283.47,2.249,28.8,115.4
West Bengal,District_19,2022,Rabi,Maize,3602.97,289.99,0.08,25.6,130.3
Gujarat,District_20,2018,Summer,Rice,3537.31,40896.8,11.562,19.1,145.4
Haryana,District_21,2018,Rabi,Maize,1916.57,24316.86,12.688,34.4,92.5
Uttar Pradesh,District_22,2022,Summer,Cotton,934.14,1680.93,1.799,29.9,139.8
West Bengal,District_23,2023,Kharif,Soybean,1098.15,6408.25,5.835,25.2,29.5
Gujarat,District_24,2018,Summer,Sugarcane,305.89,1440.6,4.71,23.6,230.2
Madhya Pradesh,District_25,2018,Rabi,Maize,3337.4,669.74,0.201,26.0,974.0
Madhya Pradesh,District_26,2018,Kharif,Wheat,3221.66,46207.26,14.343,27.6,95.4
Karnataka,District_27,2021,Summer,Soybean,295.4,248.87,0.842,14.8,200.2
West Bengal,District_28,2021,Summer,Soybean,2611.37,1942.53,0.744,35.6,293.3
Haryana,District_29,2020,Summer,Maize,1642.71,3382.89,2.059,21.1,413.3
Maharashtra,District_30,2019,Rabi,Soybean,394.66,35484.63,8.464692870786672,25.0,120.1
Haryana,District_31,2022,Rabi,Groundnut,328.32,11440.13,14.73045349514161,25.2,35.1
Madhya Pradesh,District_32,2022,Summer,Maize,1593.19,242.65,0.152,35.0,183.8
Madhya Pradesh,District_33,2022,Kharif,Rice,736.78,2968.69,4.029,24.6,164.5
Punjab,District_34,2020,Kharif,Barley,6767.92,3076.63,0.455,32.9,112.6
Madhya Pradesh,District_35,2021,Rabi,Cotton,2842.95,2116.44,0.744,27.0,133.4
Uttar Pradesh,District_36,2023,Kharif,Mustard,1761.1,7553.1,4.289,20.2,166.5
Tamil Nadu,District_37,2023,Rabi,Pulses,1850.26,360.08,0.195,25.7,198.2
West Bengal,District_38,2020,Summer,Soybean,4150.01,1614.93,0.389,24.4,191.7
Haryana,District_39,2023,Rabi,Rice,2556.82,6113.34,2.391,19.6,124.7
Tamil Nadu,District_40,2022,Rabi,Sugarcane,1807.62,8261.52,4.57,26.8,201.8
Gujarat,District_41,2019,Summer,Sugarcane,411.47,3729.87,9.065,25.1,118.2
Maharashtra,District_42,2018,Kharif,Pulses,23434.09,1934.13,0.083,27.8,248.0
Uttar Pradesh,District_43,2021,Rabi,Cotton,363.88,2490.12,6.843,26.0,89.8
Haryana,District_44,2021,Rabi,Soybean,802.28,9050.82,11.281,21.7,157.3
Tamil Nadu,District_45,2020,Summer,Groundnut,209.61,3136.46,14.963,28.8,40.5
Maharashtra,District_46,2021,Kharif,Pulses,1879.57,624.67,0.332,21.9,110.4
Punjab,District_47,2022,Rabi,Cotton,1275.52,468.6,0.367,9.5,233.7
Uttar Pradesh,District_48,2023,Summer,Soybean,2357.31,319.11,0.135,25.6,64.9
Uttar Pradesh,District_49,2022,Rabi,Rice,192.66,26459.52,14.797343347738597,22.2,114.9
Punjab,District_50,2020,Summer,Barley,3337.26,10008.53,2.999,26.9,21.7
West Bengal,District_1,2022,Kharif,Groundnut,489.1,2540.89,5.195,35.0,49.7
Punjab,District_2,2023,Kharif,Mustard,944.82,1509.16,1.597,35.1,61.2
Uttar Pradesh,District_3,2019,Kharif,Sugarcane,2783.8,1260.3,0.453,24.2,161.0
Uttar Pradesh,District_4,2020,Kharif,Wheat,1424.06,15365.13,10.79,20.9,193.8
Tamil Nadu,District_5,2019,Rabi,Rice,1528.35,51878.01,7.682760204535567,27.9,141.9
Madhya Pradesh,District_6,2018,Rabi,Sugarcane,2438.6,1202.2,0.493,23.1,109.3
Maharashtra,District_7,2019,Kharif,Maize,1683.77,16442.48,9.765,27.0,109.6
Punjab,District_8,2018,Kharif,Wheat,779.69,3108.88,3.987,21.7,263.2
Maharashtra,District_9,2018,Kharif,Sugarcane,928.46,2167.56,2.335,26.3,176.0
Punjab,District_10,2019,Rabi,Cotton,1355.44,28461.89,5.4097822224989045,20.9,113.6
Gujarat,District_11,2020,Kharif,Groundnut,447.84,2935.85,6.556,30.9,417.6
Uttar Pradesh,District_12,2023,Kharif,Sugarcane,2969.08,4649.65,1.566,22.1,706.3
Madhya Pradesh,District_13,2022,Kharif,Mustard,1463.6,4326.05,2.956,28.3,54.8
Tamil Nadu,District_14,2022,Summer,Barley,1181.78,260.24,0.22,18.7,225.4
Madhya Pradesh,District_15,2023,Kharif,Cotton,3613.73,4594.51,1.271,28.9,1758.0
Madhya Pradesh,District_16,2018,Summer,Rice,972.52,1281.72,1.318,20.2,185.7
Madhya Pradesh,District_17,2018,Summer,Rice,913.77,353.64,0.387,26.3,162.8
Maharashtra,District_18,2020,Kharif,Rice,675.44,1372.37,2.032,30.1,141.9
Punjab,District_19,2021,Summer,Rice,1545.44,1355.49,0.877,24.0,219.7
Rajasthan,District_20,2019,Kharif,Barley,1492.86,13972.18,9.359,19.9,271.5
Gujarat,District_21,2018,Rabi,Sugarcane,563.25,604.45,1.073,27.5,54.8
Haryana,District_22,2022,Rabi,Soybean,918.1,911.63,0.993,20.8,145.3
Madhya Pradesh,District_23,2020,Rabi,Sugarcane,567.02,4243.24,7.483,23.0,24.2
West Bengal,District_24,2019,Rabi,Maize,541.93,408.02,0.753,26.3,125.5
Maharashtra,District_25,2020,Summer,Groundnut,194.44,1109.31,5.705,31.8,72.1
Tamil Nadu,District_26,2019,Kharif,Wheat,870.52,245.5,0.282,25.1,194.7
Haryana,District_27,2019,Kharif,Soybean,199.89,11849.22,12.05063284205379,25.1,39.4
Rajasthan,District_28,2023,Kharif,Soybean,690.34,1896.86,2.748,28.7,98.5
West Bengal,District_29,2018,Rabi,Sugarcane,594.25,2910.63,4.898,25.3,321.6
Rajasthan,District_30,2020,Rabi,Soybean,3139.74,11778.32,3.751,28.2,86.4
Haryana,District_31,2020,Kharif,Pulses,397.45,1008.88,2.538,30.4,32.3
Madhya Pradesh,District_32,2023,Rabi,Pulses,512.25,1866.87,3.644,23.4,182.4
West Bengal,District_33,2022,Kharif,Maize,748.8,611.25,0.816,8.6,92.8
Rajasthan,District_34,2022,Kharif,Wheat,613.91,609.26,0.992,20.9,127.9
Tamil Nadu,District_35,2018,Kharif,Mustard,4312.42,749.29,0.174,31.0,82.8
Punjab,District_36,2018,Kharif,Barley,351.23,1424.06,4.054,24.8,720.2
Uttar Pradesh,District_37,2021,Kharif,Sugarcane,750.39,1673.72,2.23,23.3,42.7
Punjab,District_38,2023,Kharif,Barley,1528.54,4596.03,3.007,30.8,1432.0
Haryana,District_39,2022,Kharif,Mustard,2647.0,783.03,0.296,24.5,108.6
Maharashtra,District_40,2019,Rabi,Sugarcane,749.76,4814.8,6.422,14.5,171.9
Uttar Pradesh,District_41,2020,Kharif,Sugarcane,161.08,6170.3,9.509865026483437,17.5,93.7
Gujarat,District_42,2018,Kharif,Wheat,943.78,1477.74,1.566,27.1,90.6
Tamil Nadu,District_43,2020,Rabi,Barley,4238.77,891.51,0.21,24.7,79.2
Gujarat,District_44,2020,Rabi,Pulses,1454.17,3386.72,2.329,32.3,240.1
West Bengal,District_45,2021,Rabi,Rice,1389.11,2198.7,1.583,21.3,48.0
Uttar Pradesh,District_46,2022,Kharif,Barley,378.79,4148.61,10.952,23.5,198.6
Gujarat,District_47,2018,Summer,Groundnut,341.84,31407.43,6.007528439595763,20.6,25.9
Gujarat,District_48,2020,Summer,Groundnut,1116.6,3304.22,2.959,22.4,184.7
Rajasthan,District_49,2018,Rabi,Sugarcane,263.39,1142.71,4.338,15.5,292.7
Punjab,District_50,2019,Summer,Rice,2395.54,783.42,0.327,23.1,53.5
Rajasthan,District_1,2021,Rabi,Cotton,470.29,830.23,1.765,24.7,255.4
Uttar Pradesh,District_2,2019,Kharif,Mustard,1069.92,332.24,0.311,24.3,154.6
Uttar Pradesh,District_3,2018,Summer,Maize,166.37,12077.69,12.075228189780429,35.7,533.1
Haryana,District_4,2018,Kharif,Rice,739.67,104.59,0.141,34.2,74.9
Rajasthan,District_5,2022,Summer,Maize,335.0,6199.09,18.505,21.2,1412.0
Karnataka,District_6,2020,Kharif,Barley,107.56,810.7,7.537,14.8,21.9
Punjab,District_7,2020,Summer,Barley,1885.3,1382.15,0.733,24.5,114.0
Uttar Pradesh,District_8,2019,Kharif,Maize,5659.89,775.12,0.137,26.9,38.1
Haryana,District_9,2021,Kharif,Mustard,3393.01,26076.69,7.685,20.7,652.5
Rajasthan,District_10,2023,Summer,Rice,2168.28,3054.81,1.409,20.9,120.4
Punjab,District_11,2020,Kharif,Cotton,724.79,9755.32,13.46,32.9,129.4
Rajasthan,District_12,2022,Kharif,Sugarcane,2455.02,20968.79,8.541,23.7,211.6
Gujarat,District_13,2019,Kharif,Wheat,3728.84,3808.95,1.021,28.3,147.8
Haryana,District_14,2019,Summer,Barley,1257.43,495.99,0.394,20.3,92.3
Punjab,District_15,2023,Summer,Groundnut,335.51,2141.02,6.381,24.7,54.3
Madhya Pradesh,District_16,2022,Kharif,Mustard,665.55,979.09,1.471,23.3,169.8
West Bengal,District_17,2021,Kharif,Wheat,6019.12,1400.72,0.233,21.6,201.0
West Bengal,District_18,2022,Summer,Cotton,1017.65,2586.51,2.542,30.8,258.9
Punjab,District_19,2021,Summer,Soybean,39.46,2437.59,5.3117490911192125,18.1,685.5
Rajasthan,District_20,2022,Kharif,Sugarcane,252.42,5531.22,13.701966904922422,26.5,26.1
Haryana,District_21,2022,Kharif,Barley,717.34,6877.13,9.587,23.2,140.6
West Bengal,District_22,2018,Kharif,Sugarcane,3089.69,2437.63,0.789,27.1,385.1
Haryana,District_23,2019,Rabi,Wheat,834.54,5460.0,6.543,23.3,134.3
West Bengal,District_24,2022,Summer,Sugarcane,3147.71,1307.62,0.415,29.3,22.9
Gujarat,District_25,2023,Rabi,Soybean,647.97,21421.91,6.3865252911330375,20.3,52.8
Rajasthan,District_26,2022,Summer,Wheat,153.81,1276.32,8.298,30.8,193.0
Gujarat,District_27,2020,Summer,Barley,670.78,17957.8,6.27311878746725,24.9,187.5
West Bengal,District_28,2019,Summer,Rice,1548.35,325.67,0.21,18.4,254.2
Madhya Pradesh,District_29,2020,Summer,Groundnut,1425.03,1684.78,1.182,28.4,79.5
Madhya Pradesh,District_30,2019,Summer,Wheat,312.59,1814.44,5.805,24.0,182.7
Gujarat,District_31,2020,Summer,Pulses,771.86,4530.05,5.869,16.5,69.6
Madhya Pradesh,District_32,2022,Summer,Soybean,16069.43,10858.74,0.676,26.7,182.7
West Bengal,District_33,2022,Rabi,Wheat,319.49,457.56,1.432,30.0,154.9
Punjab,District_34,2018,Kharif,Wheat,2123.29,565.68,0.266,31.4,77.0
Gujarat,District_35,2023,Kharif,Pulses,134.74,363.99,2.701,23.1,516.2
Maharashtra,District_36,2020,Rabi,Barley,2601.37,21596.28,8.302,25.7,37.9
Rajasthan,District_37,2021,Rabi,Wheat,449.29,4658.31,10.368,25.3,132.5
Madhya Pradesh,District_38,2018,Rabi,Groundnut,1639.4,586.07,0.357,32.4,75.6
Madhya Pradesh,District_39,2020,Rabi,Sugarcane,301.41,1533.58,5.088,20.9,643.8
Uttar Pradesh,District_40,2020,Summer,Barley,1466.82,17547.07,11.963,22.7,239.5
Karnataka,District_41,2018,Kharif,Groundnut,442.02,1964.16,4.444,20.8,88.3
Gujarat,District_42,2022,Summer,Barley,536.44,1797.62,3.351,17.8,118.7
Tamil Nadu,District_43,2020,Kharif,Groundnut,1706.14,923.39,0.541,26.2,657.9
Madhya Pradesh,District_44,2022,Kharif,Soybean,713.09,640.67,0.898,33.0,69.6
Rajasthan,District_45,2018,Rabi,Groundnut,1604.2,17588.24,10.964,24.0,36.2
Maharashtra,District_46,2022,Summer,Maize,906.11,36711.76,6.756722979685845,20.6,187.3
Madhya Pradesh,District_47,2019,Rabi,Groundnut,1173.2,680.08,0.58,25.9,190.7
Maharashtra,District_48,2021,Summer,Rice,1711.43,24524.15,14.33,27.9,252.9
West Bengal,District_49,2020,Kharif,Rice,772.77,1434.99,1.857,24.2,254.2
West Bengal,District_50,2023,Rabi,Mustard,405.03,6637.38,16.387,32.0,611.9
Karnataka,District_1,2021,Rabi,Maize,643.99,24718.83,14.602663584920666,20.9,37.5
Punjab,District_2,2022,Kharif,Maize,3623.3,2397.99,0.662,23.6,56.7
Tamil Nadu,District_3,2020,Kharif,Sugarcane,1231.73,1822.72,1.48,26.5,252.1
Uttar Pradesh,District_4,2022,Kharif,Maize,471.11,9913.19,11.93169360253846,27.0,61.3
Karnataka,District_5,2019,Rabi,Sugarcane,1638.54,564.01,0.344,25.2,46.3
Haryana,District_6,2018,Summer,Mustard,1751.65,16657.1,9.509,18.6,660.3
Uttar Pradesh,District_7,2020,Rabi,Mustard,1844.57,3693.07,2.002,36.7,40.6
Gujarat,District_8,2019,Summer,Soybean,412.47,1253.1,3.038,23.8,112.1
Rajasthan,District_9,2019,Rabi,Rice,554.25,1204.41,2.173,25.6,141.5
Haryana,District_10,2020,Rabi,Groundnut,557.34,374.21,0.671,28.1,423.0
Haryana,District_11,2022,Kharif,Groundnut,764.6,1333.74,1.744,21.8,33.3
Karnataka,District_12,2023,Summer,Pulses,1879.8,2006.09,1.067,25.3,206.9
Punjab,District_13,2019,Rabi,Pulses,1474.66,606.72,0.411,21.6,72.8
Karnataka,District_14,2021,Rabi,Cotton,1595.94,2784.44,1.745,27.1,245.2
Gujarat,District_15,2019,Kharif,Barley,4247.22,6059.46,1.427,23.6,71.8
Madhya Pradesh,District_16,2023,Kharif,Soybean,2183.95,2164.17,0.991,26.3,522.1
Madhya Pradesh,District_17,2022,Summer,Cotton,951.65,8055.33,8.465,19.8,72.2
Punjab,District_18,2022,Rabi,Cotton,335.67,888.28,2.646,20.9,20.7
Gujarat,District_19,2021,Summer,Wheat,536.71,13427.69,13.013715354636368,18.2,79.0
Punjab,District_20,2019,Rabi,Wheat,844.12,3578.58,4.239,21.4,120.4
Maharashtra,District_21,2022,Summer,Cotton,2512.74,30269.19,12.046,12.1,352.8
Madhya Pradesh,District_22,2023,Kharif,Maize,1067.07,111449.4,8.97634985732753,23.5,54.2
Haryana,District_23,2020,Rabi,Barley,568.96,1472.38,2.588,22.3,55.1
Tamil Nadu,District_24,2018,Summer,Soybean,526.95,1566.19,2.972,25.8,320.0
Rajasthan,District_25,2018,Kharif,Cotton,1022.93,2060.36,2.014,25.2,49.4
Gujarat,District_26,2018,Kharif,Groundnut,2670.41,7284.86,2.728,31.3,128.6
Uttar Pradesh,District_27,2019,Summer,Barley,5383.1,21784.52,4.047,38.0,130.7
Punjab,District_28,2021,Rabi,Wheat,892.68,1119.67,1.254,30.7,176.6
Rajasthan,District_29,2022,Rabi,Groundnut,1048.65,5280.98,5.036,22.7,81.5
Uttar Pradesh,District_30,2020,Kharif,Wheat,325.73,2431.12,7.464,22.5,70.7
Rajasthan,District_31,2023,Rabi,Wheat,7625.04,7533.87,0.988,29.3,194.0
Tamil Nadu,District_32,2020,Rabi,Barley,270.16,28686.63,8.363127275049555,16.6,72.5
Uttar Pradesh,District_33,2023,Rabi,Wheat,3539.22,2078.72,0.587,23.4,50.0
Karnataka,District_34,2019,Kharif,Mustard,761.02,243.52,0.32,23.8,396.3
West Bengal,District_35,2018,Summer,Rice,602.23,9098.39,15.108,27.9,219.3
Karnataka,District_36,2019,Rabi,Mustard,361.4,854.86,2.365,28.1,610.3
Madhya Pradesh,District_37,2021,Kharif,Rice,12210.46,2405.05,0.197,21.3,277.9
West Bengal,District_38,2021,Kharif,Pulses,1368.53,9706.45,7.093,22.9,53.8
Karnataka,District_39,2023,Summer,Pulses,1120.22,4656.84,4.157,27.2,160.3
West Bengal,District_40,2022,Rabi,Wheat,2661.73,2559.12,0.961,21.0,65.9
West Bengal,District_41,2022,Rabi,Soybean,572.02,1256.62,2.197,31.0,39.6
Haryana,District_42,2023,Summer,Soybean,1098.66,38.48,0.035,28.0,103.8
Punjab,District_43,2021,Summer,Rice,1160.19,8497.11,7.324,25.9,325.5
Punjab,District_44,2021,Kharif,Groundnut,657.11,2039.73,3.104,27.0,184.9
Haryana,District_45,2021,Kharif,Barley,3639.63,28854.01,7.928,22.7,48.8
Rajasthan,District_46,2019,Summer,Wheat,881.25,5415.62,6.145,21.9,100.9
Maharashtra,District_47,2021,Rabi,Barley,232.03,1323.87,5.706,22.9,132.4
Rajasthan,District_48,2020,Kharif,Mustard,811.19,14769.29,18.207,27.5,38.4
Uttar Pradesh,District_49,2018,Kharif,Soybean,1406.95,16759.06,11.912,26.0,262.6
Uttar Pradesh,District_50,2021,Rabi,Maize,448.77,2146.2,4.782,22.9,123.6
West Bengal,District_1,2023,Kharif,Mustard,485.61,17862.65,7.344840067831699,28.7,48.8
Karnataka,District_2,2018,Rabi,Mustard,635.07,1296.0,2.041,24.1,46.6
Karnataka,District_3,2019,Rabi,Rice,3719.1,3787.54,1.018,21.5,358.0
Punjab,District_4,2023,Rabi,Sugarcane,673.74,7024.17,10.426,26.3,109.4
Gujarat,District_5,2018,Summer,Mustard,4578.46,9673.76,2.113,19.9,384.6
Rajasthan,District_6,2023,Summer,Wheat,592.91,7572.53,12.772,16.6,522.0
Madhya Pradesh,District_7,2019,Summer,Cotton,1517.8,1809.88,1.192,25.0,336.3
